id,hour_of_day,level,mean_seconds
2MhXEYkWOJLoUbTQ2oOe,10,light,1128.0
2MhXEYkWOJLoUbTQ2oOe,10,rem,450.0
2MhXEYkWOJLoUbTQ2oOe,10,wake,300.0
2MhXEYkWOJLoUbTQ2oOe,11,light,240.0
2MhXEYkWOJLoUbTQ2oOe,11,wake,210.0
2MhXEYkWOJLoUbTQ2oOe,20,light,1110.0
2MhXEYkWOJLoUbTQ2oOe,20,wake,660.0
2MhXEYkWOJLoUbTQ2oOe,21,deep,1740.0
2MhXEYkWOJLoUbTQ2oOe,21,light,430.0
2MhXEYkWOJLoUbTQ2oOe,21,wake,495.0
2MhXEYkWOJLoUbTQ2oOe,22,deep,1580.0
2MhXEYkWOJLoUbTQ2oOe,22,light,1081.875
2MhXEYkWOJLoUbTQ2oOe,22,rem,270.0
2MhXEYkWOJLoUbTQ2oOe,22,wake,662.0
2MhXEYkWOJLoUbTQ2oOe,23,deep,1444.5
2MhXEYkWOJLoUbTQ2oOe,23,light,1513.9999999999998
2MhXEYkWOJLoUbTQ2oOe,23,rem,915.0
2MhXEYkWOJLoUbTQ2oOe,23,wake,586.95652173913049
6kVHCR22SGLsK4YC0YeM,0,deep,1631.0526315789475
6kVHCR22SGLsK4YC0YeM,0,light,1481.9047619047615
6kVHCR22SGLsK4YC0YeM,0,rem,949.2307692307694
6kVHCR22SGLsK4YC0YeM,0,wake,313.63636363636363
6kVHCR22SGLsK4YC0YeM,1,deep,1171.2000000000003
6kVHCR22SGLsK4YC0YeM,1,light,1981.9047619047619
6kVHCR22SGLsK4YC0YeM,1,rem,1088.6842105263158
6kVHCR22SGLsK4YC0YeM,1,wake,335.0
6kVHCR22SGLsK4YC0YeM,2,deep,1096.5
6kVHCR22SGLsK4YC0YeM,2,light,2466.666666666667
6kVHCR22SGLsK4YC0YeM,2,rem,838.96551724137919
6kVHCR22SGLsK4YC0YeM,2,wake,321.0
6kVHCR22SGLsK4YC0YeM,3,deep,994.28571428571433
