id,hour_of_day,mean_hourly_steps
9mwCJXfh16H5kXUwvHVW,8,64.37
9mwCJXfh16H5kXUwvHVW,9,82.4
9mwCJXfh16H5kXUwvHVW,10,201.17
9mwCJXfh16H5kXUwvHVW,11,108.25
9mwCJXfh16H5kXUwvHVW,12,162.28
9mwCJXfh16H5kXUwvHVW,13,161.68
9mwCJXfh16H5kXUwvHVW,14,110.42
9mwCJXfh16H5kXUwvHVW,15,219.71
9mwCJXfh16H5kXUwvHVW,16,246.71
9mwCJXfh16H5kXUwvHVW,17,110.63
9mwCJXfh16H5kXUwvHVW,18,237.31
9mwCJXfh16H5kXUwvHVW,19,110.29
9mwCJXfh16H5kXUwvHVW,20,140.06
9mwCJXfh16H5kXUwvHVW,21,72.37
9mwCJXfh16H5kXUwvHVW,22,74.45
9mwCJXfh16H5kXUwvHVW,23,48.78
Bn8ry07xklgiLaf91MqF,0,301.15
Bn8ry07xklgiLaf91MqF,1,90.88
Bn8ry07xklgiLaf91MqF,2,28.65
Bn8ry07xklgiLaf91MqF,3,36.14
Bn8ry07xklgiLaf91MqF,4,59.82
Bn8ry07xklgiLaf91MqF,5,396.38
Bn8ry07xklgiLaf91MqF,6,1479.58
Bn8ry07xklgiLaf91MqF,7,1251.86
Bn8ry07xklgiLaf91MqF,8,1336.09
Bn8ry07xklgiLaf91MqF,9,1238.78
Bn8ry07xklgiLaf91MqF,10,1611.6
Bn8ry07xklgiLaf91MqF,11,1823.6
Bn8ry07xklgiLaf91MqF,12,1655.2
Bn8ry07xklgiLaf91MqF,13,1560.42
Bn8ry07xklgiLaf91MqF,14,1508.26
Bn8ry07xklgiLaf91MqF,15,1278.54
Bn8ry07xklgiLaf91MqF,16,1614.25
Bn8ry07xklgiLaf91MqF,17,1356.55
Bn8ry07xklgiLaf91MqF,18,1132.68
Bn8ry07xklgiLaf91MqF,19,1021.83
Bn8ry07xklgiLaf91MqF,20,925.34
Bn8ry07xklgiLaf91MqF,21,943.97
Bn8ry07xklgiLaf91MqF,22,588.02
Bn8ry07xklgiLaf91MqF,23,330.17
D7ztGzWsNcXCjkpkH9O7,0,339.51
D7ztGzWsNcXCjkpkH9O7,1,302.11
D7ztGzWsNcXCjkpkH9O7,2,250.34
D7ztGzWsNcXCjkpkH9O7,3,182.45
D7ztGzWsNcXCjkpkH9O7,4,128.83
D7ztGzWsNcXCjkpkH9O7,5,282.74
D7ztGzWsNcXCjkpkH9O7,6,285.85
D7ztGzWsNcXCjkpkH9O7,7,218.83
D7ztGzWsNcXCjkpkH9O7,8,307.88
D7ztGzWsNcXCjkpkH9O7,9,534.92
D7ztGzWsNcXCjkpkH9O7,10,772.34
D7ztGzWsNcXCjkpkH9O7,11,839.8
D7ztGzWsNcXCjkpkH9O7,12,936.88
D7ztGzWsNcXCjkpkH9O7,13,1015.2
D7ztGzWsNcXCjkpkH9O7,14,732.22
D7ztGzWsNcXCjkpkH9O7,15,895.42
D7ztGzWsNcXCjkpkH9O7,16,945.08
D7ztGzWsNcXCjkpkH9O7,17,917.97
D7ztGzWsNcXCjkpkH9O7,18,747.14
D7ztGzWsNcXCjkpkH9O7,19,740.51
D7ztGzWsNcXCjkpkH9O7,20,718.0
D7ztGzWsNcXCjkpkH9O7,21,587.57
D7ztGzWsNcXCjkpkH9O7,22,743.89
D7ztGzWsNcXCjkpkH9O7,23,394.62
DfgE795ypSnZzyuBlNNT,0,76.58
DfgE795ypSnZzyuBlNNT,1,14.66
DfgE795ypSnZzyuBlNNT,2,3.62
DfgE795ypSnZzyuBlNNT,3,8.46
DfgE795ypSnZzyuBlNNT,4,25.85
DfgE795ypSnZzyuBlNNT,5,44.14
DfgE795ypSnZzyuBlNNT,6,476.35
DfgE795ypSnZzyuBlNNT,7,3631.14
DfgE795ypSnZzyuBlNNT,8,1488.74
DfgE795ypSnZzyuBlNNT,9,1436.54
DfgE795ypSnZzyuBlNNT,10,1352.95
DfgE795ypSnZzyuBlNNT,11,858.69
DfgE795ypSnZzyuBlNNT,12,1682.23
DfgE795ypSnZzyuBlNNT,13,1084.05
DfgE795ypSnZzyuBlNNT,14,895.42
DfgE795ypSnZzyuBlNNT,15,1102.4
DfgE795ypSnZzyuBlNNT,16,1799.42
DfgE795ypSnZzyuBlNNT,17,3274.63
DfgE795ypSnZzyuBlNNT,18,1814.37
DfgE795ypSnZzyuBlNNT,19,1581.91
DfgE795ypSnZzyuBlNNT,20,614.86
DfgE795ypSnZzyuBlNNT,21,433.52
DfgE795ypSnZzyuBlNNT,22,468.98
DfgE795ypSnZzyuBlNNT,23,53.92
EeTSKkNw03amapx06fy9,0,2.66
EeTSKkNw03amapx06fy9,1,0.46
EeTSKkNw03amapx06fy9,2,0.11
EeTSKkNw03amapx06fy9,3,0.58
EeTSKkNw03amapx06fy9,4,0.8
EeTSKkNw03amapx06fy9,5,0.22
EeTSKkNw03amapx06fy9,6,2.52
EeTSKkNw03amapx06fy9,7,1206.77
EeTSKkNw03amapx06fy9,8,537.4
EeTSKkNw03amapx06fy9,9,255.91
EeTSKkNw03amapx06fy9,10,617.32
EeTSKkNw03amapx06fy9,11,976.08
EeTSKkNw03amapx06fy9,12,1072.12
EeTSKkNw03amapx06fy9,13,1181.85
EeTSKkNw03amapx06fy9,14,1142.46
EeTSKkNw03amapx06fy9,15,737.4
EeTSKkNw03amapx06fy9,16,451.11
EeTSKkNw03amapx06fy9,17,473.08
EeTSKkNw03amapx06fy9,18,358.06
EeTSKkNw03amapx06fy9,19,184.15
EeTSKkNw03amapx06fy9,20,53.51
EeTSKkNw03amapx06fy9,21,81.25
EeTSKkNw03amapx06fy9,22,131.6
EeTSKkNw03amapx06fy9,23,103.23
ElFiNRydnOOTWXJaUXrk,0,96.32
ElFiNRydnOOTWXJaUXrk,1,39.28
ElFiNRydnOOTWXJaUXrk,2,43.18
ElFiNRydnOOTWXJaUXrk,3,19.46
ElFiNRydnOOTWXJaUXrk,4,19.34
ElFiNRydnOOTWXJaUXrk,5,23.8
ElFiNRydnOOTWXJaUXrk,6,54.12
ElFiNRydnOOTWXJaUXrk,7,82.22
ElFiNRydnOOTWXJaUXrk,8,185.83
ElFiNRydnOOTWXJaUXrk,9,265.08
ElFiNRydnOOTWXJaUXrk,10,402.49
ElFiNRydnOOTWXJaUXrk,11,481.25
ElFiNRydnOOTWXJaUXrk,12,511.03
ElFiNRydnOOTWXJaUXrk,13,562.54
ElFiNRydnOOTWXJaUXrk,14,601.31
ElFiNRydnOOTWXJaUXrk,15,489.98
ElFiNRydnOOTWXJaUXrk,16,502.35
ElFiNRydnOOTWXJaUXrk,17,414.34
ElFiNRydnOOTWXJaUXrk,18,526.66
ElFiNRydnOOTWXJaUXrk,19,438.29
ElFiNRydnOOTWXJaUXrk,20,362.31
ElFiNRydnOOTWXJaUXrk,21,237.74
ElFiNRydnOOTWXJaUXrk,22,207.49
ElFiNRydnOOTWXJaUXrk,23,324.46
H7UADUwy3br6HvHTUti0,0,78.88
H7UADUwy3br6HvHTUti0,1,23.85
H7UADUwy3br6HvHTUti0,2,20.63
H7UADUwy3br6HvHTUti0,3,15.83
H7UADUwy3br6HvHTUti0,4,14.57
H7UADUwy3br6HvHTUti0,5,20.43
H7UADUwy3br6HvHTUti0,6,37.52
H7UADUwy3br6HvHTUti0,7,125.57
H7UADUwy3br6HvHTUti0,8,393.71
